file_number	wellnumber	col_number	row_number	blank	smiles	pubchem_cid	error_code	tm_inf_	apo_tm_inf__median	apo_tm_inf__mad
11	70	22	3	FALSE	N#C/C(=C\c1ccc(O)cc1)/C(/C#N)=C/c2ccc(O)cc2	6508939	0	69.03464451	68.29213889	0.091890082
5	304	16	13	FALSE	OC(=O)c3cc(O)c2C(=O)c1c(O)cc(O)cc1C(=O)c2c3	361510	0	68.16274028	68.2772857	0.055985758
9	304	16	13	FALSE	OC(=O)c3cc(O)c2C(=O)c1c(O)cc(O)cc1C(=O)c2c3	361510	0	68.24154492	68.2799394	0.146243329
13	304	16	13	FALSE	OC(=O)c3cc(O)c2C(=O)c1c(O)cc(O)cc1C(=O)c2c3	361510	0	68.35683617	68.28545317	0.071644612
2	200	8	9	FALSE	CCC(C)CC(C)/C=C/C=C/C(=O)O[C@@H]1CC[C@H](C(O)=O)[C@@]2(C)C[C@@H](C(=C)C=O)C(=O)C=C12	11294029	0	66.71475913	68.20813253	0.069540518
6	200	8	9	FALSE	CCC(C)CC(C)/C=C/C=C/C(=O)O[C@@H]1CC[C@H](C(O)=O)[C@@]2(C)C[C@@H](C(=C)C=O)C(=O)C=C12	11294029	0	66.83064801	68.16918549	0.097207372
10	200	8	9	FALSE	CCC(C)CC(C)/C=C/C=C/C(=O)O[C@@H]1CC[C@H](C(O)=O)[C@@]2(C)C[C@@H](C(=C)C=O)C(=O)C=C12	11294029	0	67.20879954	68.2113126	0.093646869
2	114	18	5	FALSE	C/C=C/CCCCC[C@@H]2C=C3[C@@]4(CC(O)=O)CC1C(=O)OC(=O)C=1[C@@H]([C@@H]2CC(O)C(=O)CC\C=C\C)[C@]3(O)OC4=O	9829521	0	64.97096004	68.20813253	0.069540518
6	114	18	5	FALSE	C/C=C/CCCCC[C@@H]2C=C3[C@@]4(CC(O)=O)CC1C(=O)OC(=O)C=1[C@@H]([C@@H]2CC(O)C(=O)CC\C=C\C)[C@]3(O)OC4=O	9829521	0	64.78462425	68.16918549	0.097207372
10	114	18	5	FALSE	C/C=C/CCCCC[C@@H]2C=C3[C@@]4(CC(O)=O)CC1C(=O)OC(=O)C=1[C@@H]([C@@H]2CC(O)C(=O)CC\C=C\C)[C@]3(O)OC4=O	9829521	1	65.13838542	68.2113126	0.093646869
4	208	16	9	FALSE	CCCCC/C=C\C\C=C/CCCCCCCC(O)=O	5280450	0	66.54445547	68.23675053	0.084874697
8	208	16	9	FALSE	CCCCC/C=C\C\C=C/CCCCCCCC(O)=O	5280450	0	66.19549959	68.16496682	0.092534993
12	208	16	9	FALSE	CCCCC/C=C\C\C=C/CCCCCCCC(O)=O	5280450	0	65.5342395	68.17382353	0.077146382
2	346	10	15	FALSE	CC3(C)Oc2ccc1C=CC(=O)Oc1c2C[C@H]3O	759302	0	68.06364986	68.20813253	0.069540518
6	346	10	15	FALSE	CC3(C)Oc2ccc1C=CC(=O)Oc1c2C[C@H]3O	759302	0	68.15518917	68.16918549	0.097207372
10	346	10	15	FALSE	CC3(C)Oc2ccc1C=CC(=O)Oc1c2C[C@H]3O	759302	0	68.04189757	68.2113126	0.093646869
2	83	11	4	FALSE	CC[C@H](C)C[C@H]1CC[C@@](O)(O[C@@H]1C)[C@](C)(O)C(=O)N[C@H]4[C@@H](OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC(=O)[C@H](C)N(O)C(=O)[C@H]3CCCNN3C4=O)C(C)C	14588192	1	67.44732513	68.20813253	0.069540518
6	83	11	4	FALSE	CC[C@H](C)C[C@H]1CC[C@@](O)(O[C@@H]1C)[C@](C)(O)C(=O)N[C@H]4[C@@H](OC(=O)[C@@H](C)N(O)C(=O)[C@@H]2CCCNN2C(=O)CNC(=O)[C@H](C)N(O)C(=O)[C@H]3CCCNN3C4=O)C(C)C	14588192	0	67.52718411	68.16918549	0.097207372
