library	broad_id	other_id	smiles	hit	std_attempted	trosy_attempted	trosy_validated	pool	color	parsed	hba	hbd	logp	mw	rotb	tpsa
f19	BRD-A09273642-001-01-3		CNC(=O)NC1CN(C(=O)C1)c1cccc(F)c1	0	0	0	0	NA	#66A61E	TRUE	5	2	1	251.1	4	61.4
f19	BRD-K69489170-001-02-8		Nc1ccnc(n1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	3	1	0.7	163	1	51.8
f19	BRD-K71028828-001-01-8		OC(=O)c1nn(cc1O)-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	3	2	2.3	222	2	75.3
f19	BRD-K22420234-001-01-5		OC(=O)C1CCN(CC1)c1ccc(cn1)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	4	1	0.9	274.1	3	53.4
f19	BRD-K30091642-001-01-0		Cc1n[nH]c(SCC(=O)Nc2ccccc2F)nc1=O	0	0	0	0	NA	#66A61E	TRUE	4	2	1.9	294.1	5	113
f19	BRD-K94747508-003-01-9		FC(F)(F)c1cccc(c1)-c1noc(n1)C1CNC1	0	0	0	0	NA	#66A61E	TRUE	2	1	2.1	269.1	3	51
f19	BRD-K62492089-001-08-6		Fc1ccc(C(=O)Cn2cncn2)c(F)c1	0	0	0	0	NA	#66A61E	TRUE	3	0	1.7	223.1	3	47.8
f19	BRD-K70176200-001-01-4		NCC1CCN(CC1)C(=O)c1ccccc1F	0	0	0	0	NA	#66A61E	TRUE	3	1	-0.3	236.1	3	46.3
f19	BRD-K70968150-001-01-4		OC(=O)C1CN(C1)c1nc2c(F)cccc2s1	0	0	0	0	NA	#66A61E	TRUE	4	1	2.3	252	2	81.7
f19	BRD-K79108690-001-01-5		Cc1cc(CCC(O)=O)ccc1F	0	0	0	0	NA	#66A61E	TRUE	2	1	2.2	182.1	3	37.3
f19	BRD-A27142813-001-01-1		CC(=O)Nc1c2CS(=O)Cc2nn1-c1ccc(F)cc1	0	0	0	0	NA	#66A61E	TRUE	4	1	1.2	293.1	3	83.2
f19	BRD-K51102529-001-02-5		Nc1nc(ncc1C(O)=O)C(F)(F)F	0	0	0	0	NA	#66A61E	TRUE	5	2	0.1	207	2	89.1
